,x
421,-0.00206
422,0.001416
423,-0.00131
424,-2.80E-06
425,0.000922
426,-0.00304
427,0.003767
428,-0.00342
429,0.004247
430,-0.00317
431,0.003714
432,-0.00248
433,0.002729
434,-0.00089
435,0.00201
436,-0.00282
437,0.002446
438,-0.00322
439,0.001486
440,-0.00432
441,0.005659
442,-0.00206
443,0.001401
444,-0.00034
445,-0.00058
446,5.02E-05
447,0.001221
448,-0.00338
449,0.003462
450,-0.00298
451,0.00364
452,-0.00329
453,0.001373
454,0.000187
455,0.00058
456,-0.00204
457,0.000921
458,-0.00038
459,0.001181
460,-0.00141
461,0.001102
462,-0.00125
463,0.00285
464,-0.00107
465,0.000501
466,-0.00161
467,0.002758
468,-0.00037
469,0.000282
470,0.0013
471,0.000638
472,-0.001
473,0.003106
474,-0.00051
475,-0.00165
476,0.000983
477,0.000625
478,0.001589
479,-0.00077
480,-0.00076
481,0.00024
482,0.000526
483,-0.00071
484,0.000827
485,-2.90E-05
486,-0.00068
487,-0.00059
488,0.000159
489,-0.00191
490,0.000982
491,-0.00318
492,0.001446
493,-0.00045
494,0.001032
495,-0.00106
496,-0.00145
497,0.003716
498,-0.00343
499,-8.50E-05
500,0.001122
501,-0.00151
502,0.00269
503,7.77E-06
504,0.000888
505,-0.00096
506,0.001161
507,-0.00056
508,2.58E-06
509,-0.00148
510,0.001892
511,-0.00089
512,0.001608
513,-0.00063
514,0.001675
515,-0.00181
516,-0.00055
517,0.00091
518,-0.00163
519,-0.00088
520,0.000424
521,0.000954
522,-0.00386
523,0.004675
524,-0.0036
525,0.001641
526,-0.00047
527,0.00157
528,-0.00195
529,0.000165
530,0.001231
531,0.000746
532,-0.00212
533,0.001268
534,-0.00109
535,-0.00065
536,0.001074
537,-0.00061
538,-0.00051
539,0.000672
540,0.001202
541,-0.0018
542,0.001018
543,-0.00213
544,0.001702
545,-0.00229
546,-0.00015
547,-0.00172
548,0.002149
549,-0.00151
550,0.001599
551,0.000158
552,0.001174
553,-0.00102
554,0.001701
555,-0.00215
556,0.001387
557,-0.00052
558,0.001399
559,0.001103
560,-0.00376
561,0.001159
562,-0.00158
563,0.002788
564,-0.00156
565,0.00136
566,0.001549
567,-0.00126
568,0.002091
569,-0.00028
570,-0.00064
571,-0.0011
572,-0.00076
573,0.000889
574,-0.0004
575,0.000998
576,-0.00115
577,-0.00038
578,0.000416
579,-0.00151
580,0.000801
581,0.002285
582,-0.0024
583,0.000587
584,0.000442
585,0.000211
586,0.000722
587,-0.00139
588,0.001225
589,-0.00184
590,-0.00076
591,0.001276
592,-0.0019
593,0.001756
594,-0.00103
595,0.000665
596,0.000196
597,0.001745
598,-0.00189
599,0.000179
600,-0.00022
601,0.000501
602,0.000519
603,-0.00285
604,0.002297
605,-0.00178
606,0.001387
607,-0.00298
608,0.001595
609,-0.00278
610,0.000561
611,-0.00256
612,0.004185
613,-0.00403
614,0.003205
615,-0.00371
616,0.000996
617,-0.00206
618,0.000322
619,-0.00013
620,0.000861
621,6.53E-05
622,-0.00034
623,0.002072
624,0.001842
625,0.001825
626,-0.00386
627,0.005349
628,-0.0092
629,0.006617
630,-0.00288
631,0.000351
632,-0.00101
633,0.002437
634,-0.00118
635,-0.00014
636,-0.00065
637,0.001111
638,-0.00023
639,-0.00026
640,0.001452
641,0.001925
642,-0.00179
643,0.002066
644,-0.0032
645,0.003333
646,-0.0029
647,0.002837
648,-0.0023
649,0.000399
650,0.002588
651,-0.00383
652,0.002581
653,-0.00176
654,0.001792
655,-0.00149
656,0.002288
657,-0.00317
658,0.001352
659,0.000523
660,0.001602
661,-0.00235
662,-0.00162
663,0.000696
664,-0.00072
665,4.50E-05
666,0.001009
667,0.000699
668,0.000332
669,-0.00015
670,-0.00218
671,3.42E-05
672,0.000576
673,0.000184
674,0.002521
675,-0.00339
676,0.003166
677,-0.00029
678,-0.00214
679,0.002158
680,-0.00167
681,-0.00253
682,0.000365
683,-0.00207
684,0.000682
685,-0.00065
686,0.000365
687,0.000754
688,4.69E-05
689,-0.00086
690,0.000992
691,-0.00062
692,0.000431
693,-0.00062
694,0.001098
695,-0.00044
696,-0.0009
697,5.39E-05
698,0.001724
699,0.000601
700,-0.00314
701,0.002428
702,-0.00106
703,0.00231
704,-0.00221
705,0.000837
706,-5.30E-06
707,-0.00113
708,0.002513
709,-0.00377
710,0.001405
711,-0.00195
712,0.00168
713,0.000548
714,-0.00014
715,0.001194
716,-0.00278
717,0.001115
718,0.000652
719,0.000696
720,-0.0002
721,0.000226
722,-0.00228
723,0.003509
724,-0.00042
725,0.000102
726,0.001764
727,-0.0027
728,0.003257
729,-0.00204
730,0.001756
731,-0.00118
732,-0.00032
733,-0.00094
734,0.001383
735,-0.00207
736,-0.00179
737,0.003198
738,-0.00186
739,0.000497
740,-0.00016
741,0.001038
742,0.000985
743,0.000896
744,-0.00016
745,0.001361
746,-0.00129
747,0.000199
748,-0.00043
749,-0.00107
750,0.00122
751,-0.00093
752,0.003179
753,-0.00286
754,0.001961
755,-0.0024
756,0.001691
757,-0.00214
758,0.000301
759,2.49E-05
760,-0.00141
761,0.000791
762,0.000521
763,0.000651
764,0.00019
765,0.001137
766,-0.00087
767,-0.00282
